model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
GLM_1_AutoML_1_20251214_164751,0.9933401425772292,0.0775733713919831,0.9932460516297932,0.0331325301204819,0.1391027448394338,0.0193495736218646
StackedEnsemble_BestOfFamily_3_AutoML_1_20251214_164751,0.9933297202651435,0.0754341123487836,0.9929204935361372,0.025826489348397,0.1393051920484911,0.019405936531667
StackedEnsemble_AllModels_2_AutoML_1_20251214_164751,0.993100429399258,0.0774931729109012,0.9924689272183644,0.0348626339267103,0.1437870156277244,0.0206747058631274
StackedEnsemble_AllModels_1_AutoML_1_20251214_164751,0.9930795847750864,0.0832061608123021,0.9923878264919552,0.0335806895401675,0.1495129721878885,0.0223541288524563
StackedEnsemble_BestOfFamily_2_AutoML_1_20251214_164751,0.9930691624630008,0.076496645196647,0.9926903735144356,0.0288385375411681,0.1397082583838274,0.0195183974606422
StackedEnsemble_BestOfFamily_4_AutoML_1_20251214_164751,0.9930066285904864,0.0805905903467296,0.9923640117666526,0.0378746821194813,0.1486792218874259,0.0221055110210504
StackedEnsemble_BestOfFamily_6_AutoML_1_20251214_164751,0.9929232500938008,0.0768335292315839,0.992852579963468,0.0297348563805394,0.1420334368181463,0.0201734971743743
StackedEnsemble_BestOfFamily_1_AutoML_1_20251214_164751,0.9927148038520864,0.0723066829055591,0.993026028256792,0.0301204819277108,0.134597756637064,0.0181165560917303
GBM_grid_1_AutoML_1_20251214_164751_model_1,0.992412556801601,0.4098264480712282,0.9909377432627942,0.0348626339267103,0.1807576995072607,0.0326733459311571
XGBoost_3_AutoML_1_20251214_164751,0.991787218076458,0.092975772677248,0.9907586757870966,0.0353107933463959,0.1590315831202371,0.0252910444297288
